ref_species,ref_chr,ref_start,ref_end,query_chr,query_start,query_end,query_strand,query_name,qry_lvl
Adineta_vaga:300k,chr5,91597,147823,chr3,20749576,20816660,-,Adineta_ricciae,Chromosomes
Adineta_vaga:300k,chr5,757205,1218380,chr3,18822240,19602416,+,Adineta_ricciae,Chromosomes
Adineta_vaga:300k,chr5,1623233,1633888,chr1,3197991,3265428,+,Adineta_ricciae,Chromosomes
Adineta_vaga:300k,chr5,1857223,1919820,chr3,13276607,13407234,+,Adineta_ricciae,Chromosomes
Adineta_vaga:300k,chr5,1995474,2023132,chr3,18285821,18411778,+,Adineta_ricciae,Chromosomes
Adineta_vaga:300k,chr5,4043094,9977858,chr5,6700731,12899833,-,Adineta_ricciae,Chromosomes
Adineta_vaga:300k,chr5,9984175,10332874,chr5,6389166,6696960,+,Adineta_ricciae,Chromosomes
Adineta_vaga:300k,chr5,10336643,16030235,chr5,778240,6383617,-,Adineta_ricciae,Chromosomes
Adineta_vaga:300k,chr6,52,471475,chr5,16042663,16733537,+,Adineta_ricciae,Chromosomes
Adineta_vaga:300k,chr6,689361,691532,chr3,19720885,19723084,+,Adineta_ricciae,Chromosomes
Adineta_vaga:300k,chr6,985712,991020,chr1,19107843,19113335,+,Adineta_ricciae,Chromosomes
Adineta_vaga:300k,chr6,1288123,12684483,chr6,374396,12223085,-,Adineta_ricciae,Chromosomes
Adineta_vaga:300k,chr6,12776839,12808697,chr3,19813796,19828260,+,Adineta_ricciae,Chromosomes
Adineta_vaga:300k,chr6,13383951,13385799,chr3,18992216,18994115,+,Adineta_ricciae,Chromosomes
Adineta_vaga:300k,chr6,13468788,13472004,chr3,13957528,13959736,+,Adineta_ricciae,Chromosomes
Adineta_vaga:300k,chr6,13749462,13760276,chr1,1587715,1655497,+,Adineta_ricciae,Chromosomes
Adineta_vaga:300k,chr6,13859854,13869567,chr1,2043905,2111258,+,Adineta_ricciae,Chromosomes
Adineta_vaga:300k,chr1,454275,517200,chr3,374286,530119,+,Adineta_sp_wild,Chromosomes
Adineta_vaga:300k,chr1,612239,15078787,chr1,4141913,18009417,+,Adineta_sp_wild,Chromosomes
Adineta_vaga:300k,chr1,15119083,15155439,chr3,20426752,20475225,+,Adineta_sp_wild,Chromosomes
Adineta_vaga:300k,chr1,15386769,15406598,chr5,21132679,21188409,+,Adineta_sp_wild,Chromosomes
Adineta_vaga:300k,chr1,15550166,15650427,chr6,2684843,2780308,+,Adineta_sp_wild,Chromosomes
Adineta_vaga:300k,chr1,16292301,16307482,chr3,3305904,3313790,+,Adineta_sp_wild,Chromosomes
Adineta_vaga:300k,chr1,16499618,16523858,chr4,16082552,16136078,+,Adineta_sp_wild,Chromosomes
Adineta_vaga:300k,chr1,16552405,16558570,chr5,1434253,1443852,+,Adineta_sp_wild,Chromosomes
Adineta_vaga:300k,chr1,16576191,16587337,chr5,20772627,20777440,+,Adineta_sp_wild,Chromosomes
Adineta_vaga:300k,chr1,16908863,16965115,chr4,330907,390205,+,Adineta_sp_wild,Chromosomes
Adineta_vaga:300k,chr1,17226208,17236535,chr3,21796826,21848064,+,Adineta_sp_wild,Chromosomes
Adineta_vaga:300k,chr1,17815561,17884744,chr2,205241,906606,+,Adineta_sp_wild,Chromosomes
Adineta_vaga:300k,chr2,100952,102740,chr6,17392755,17394555,+,Adineta_sp_wild,Chromosomes
Adineta_vaga:300k,chr2,449131,15909755,chr2,3363018,20599874,+,Adineta_sp_wild,Chromosomes
Adineta_vaga:300k,chr3,1621574,17335236,chr3,1725745,19952429,+,Adineta_sp_wild,Chromosomes
Adineta_vaga:300k,chr3,17630799,17661357,chr6,17515707,17672162,+,Adineta_sp_wild,Chromosomes
Adineta_vaga:300k,chr3,17911507,17976857,chr3,2775450,2879470,+,Adineta_sp_wild,Chromosomes
Adineta_vaga:300k,chr3,18060642,18065500,chr5,20576565,20581318,+,Adineta_sp_wild,Chromosomes
Adineta_vaga:300k,chr3,18317593,18320320,chr3,2539578,2542563,+,Adineta_sp_wild,Chromosomes
Adineta_vaga:300k,chr3,19716051,19785451,chr1,18844144,18934810,+,Adineta_sp_wild,Chromosomes
Adineta_vaga:300k,chr3,20125815,20185911,chr5,4413772,4470643,+,Adineta_sp_wild,Chromosomes
Adineta_vaga:300k,chr3,20265758,20328015,chr5,22848622,23044095,+,Adineta_sp_wild,Chromosomes
Adineta_vaga:300k,chr4,461342,14715132,chr4,832956,15171867,-,Adineta_sp_wild,Chromosomes
Adineta_vaga:300k,chr5,163445,164094,chr7,214354,214974,+,Adineta_sp_wild,Chromosomes
Adineta_vaga:300k,chr5,319109,419759,chr3,3870720,3967849,+,Adineta_sp_wild,Chromosomes
Adineta_vaga:300k,chr5,582040,583246,chr3,19257767,19259180,+,Adineta_sp_wild,Chromosomes
Adineta_vaga:300k,chr5,668768,705647,chr6,3995011,4004520,+,Adineta_sp_wild,Chromosomes
Adineta_vaga:300k,chr5,1356581,1365484,chr5,6340199,6392993,+,Adineta_sp_wild,Chromosomes
Adineta_vaga:300k,chr5,1398780,1401662,chr3,19791650,19794649,+,Adineta_sp_wild,Chromosomes
Adineta_vaga:300k,chr5,1434231,1435773,chr6,3897198,3898309,+,Adineta_sp_wild,Chromosomes
Adineta_vaga:300k,chr5,1529446,2400156,chr5,4207149,4653208,+,Adineta_sp_wild,Chromosomes
Adineta_vaga:300k,chr5,2440375,2501986,chr5,20432095,20459056,+,Adineta_sp_wild,Chromosomes
Adineta_vaga:300k,chr5,2644488,2654814,chr5,2364300,2429172,+,Adineta_sp_wild,Chromosomes
Adineta_vaga:300k,chr5,2748944,16137016,chr5,7756132,20392407,-,Adineta_sp_wild,Chromosomes
Adineta_vaga:300k,chr5,16463913,16554550,chr6,1790359,4411614,+,Adineta_sp_wild,Chromosomes
Adineta_vaga:300k,chr5,16847448,16871399,chr3,4860025,5091890,+,Adineta_sp_wild,Chromosomes
Adineta_vaga:300k,chr6,411985,422916,chr5,21249875,21286646,+,Adineta_sp_wild,Chromosomes
Adineta_vaga:300k,chr6,687198,748063,chr1,2278461,2838498,+,Adineta_sp_wild,Chromosomes
Adineta_vaga:300k,chr6,1104442,1112018,chr5,5271239,5278822,+,Adineta_sp_wild,Chromosomes
Adineta_vaga:300k,chr6,1288061,12764606,chr6,4905225,17008256,+,Adineta_sp_wild,Chromosomes
Adineta_vaga:300k,chr1,968068,17360307,chr1,1169233,17886491,-,Habrotrocha_sp._wild,Chromosomes
Adineta_vaga:300k,chr1,17811634,17890602,chr1,15809560,15898211,-,Habrotrocha_sp._wild,Chromosomes
Adineta_vaga:300k,chr2,163743,322760,chr1,2614194,2733962,-,Habrotrocha_sp._wild,Chromosomes
Adineta_vaga:300k,chr2,379582,381437,chr5,4221106,4223109,+,Habrotrocha_sp._wild,Chromosomes
Adineta_vaga:300k,chr2,436677,440626,chr5,4384607,4387719,+,Habrotrocha_sp._wild,Chromosomes
Adineta_vaga:300k,chr2,1162138,9178347,chr2,269190,9744528,+,Habrotrocha_sp._wild,Chromosomes
Adineta_vaga:300k,chr2,9179795,10972805,chr2,9746413,11628117,-,Habrotrocha_sp._wild,Chromosomes
Adineta_vaga:300k,chr2,10974335,16248781,chr2,11633522,17212187,+,Habrotrocha_sp._wild,Chromosomes
Adineta_vaga:300k,chr3,74920,158502,chr2,132560,187489,+,Habrotrocha_sp._wild,Chromosomes
Adineta_vaga:300k,chr3,513232,854593,chr4,10976565,11783431,+,Habrotrocha_sp._wild,Chromosomes
Adineta_vaga:300k,chr3,1068570,1087113,chr4,10718534,10817125,+,Habrotrocha_sp._wild,Chromosomes
Adineta_vaga:300k,chr3,1298754,2013462,chr1,3406537,3606718,+,Habrotrocha_sp._wild,Chromosomes
Adineta_vaga:300k,chr3,2514341,2648617,chr3,12525365,12820002,-,Habrotrocha_sp._wild,Chromosomes
Adineta_vaga:300k,chr3,3072861,3460584,chr3,16220207,16258737,+,Habrotrocha_sp._wild,Chromosomes
Adineta_vaga:300k,chr3,3815893,3831387,chr3,16392192,16397216,+,Habrotrocha_sp._wild,Chromosomes
Adineta_vaga:300k,chr3,3837341,13408043,chr3,1809543,16334847,-,Habrotrocha_sp._wild,Chromosomes
Adineta_vaga:300k,chr3,13489435,13906053,chr3,17462127,18986629,+,Habrotrocha_sp._wild,Chromosomes
Adineta_vaga:300k,chr3,13995122,14046531,chr3,538706,603975,+,Habrotrocha_sp._wild,Chromosomes
Adineta_vaga:300k,chr3,14409348,14467473,chr3,11575064,11633794,+,Habrotrocha_sp._wild,Chromosomes
Adineta_vaga:300k,chr3,14704460,14708116,chr3,12061630,12065478,+,Habrotrocha_sp._wild,Chromosomes
Adineta_vaga:300k,chr3,15469939,15572896,chr3,1548029,1616046,-,Habrotrocha_sp._wild,Chromosomes
Adineta_vaga:300k,chr3,16543751,16602070,chr4,13754549,13828096,+,Habrotrocha_sp._wild,Chromosomes
Adineta_vaga:300k,chr4,423496,9165475,chr4,801420,10219477,+,Habrotrocha_sp._wild,Chromosomes
Adineta_vaga:300k,chr4,9350624,9432112,chr4,11142590,11172088,+,Habrotrocha_sp._wild,Chromosomes
Adineta_vaga:300k,chr4,9479920,14777125,chr4,12131840,20340736,+,Habrotrocha_sp._wild,Chromosomes
Adineta_vaga:300k,chr5,1654425,1995922,chr1,207990,625277,+,Habrotrocha_sp._wild,Chromosomes
Adineta_vaga:300k,chr5,2475771,2655825,chr4,709251,774327,+,Habrotrocha_sp._wild,Chromosomes
Adineta_vaga:300k,chr5,4101490,16456971,chr5,691399,17700037,+,Habrotrocha_sp._wild,Chromosomes
Adineta_vaga:300k,chr6,65826,125156,chr4,20567429,20643516,+,Habrotrocha_sp._wild,Chromosomes
Adineta_vaga:300k,chr6,826281,12420104,chr6,1790378,15110143,-,Habrotrocha_sp._wild,Chromosomes
Adineta_vaga:300k,chr6,12898003,13122091,chr3,16373256,16836403,+,Habrotrocha_sp._wild,Chromosomes
Adineta_vaga:300k,chr1,2245034,10844258,chr1,789316,11075072,-,Philodina_roseola,Chromosomes
Adineta_vaga:300k,chr1,11813380,11814842,chr3,4508763,4510278,+,Philodina_roseola,Chromosomes
Adineta_vaga:300k,chr1,12356897,12388539,chr3,5221802,5237144,+,Philodina_roseola,Chromosomes
Adineta_vaga:300k,chr1,14801095,15119078,chr3,13582686,13745521,+,Philodina_roseola,Chromosomes
Adineta_vaga:300k,chr1,17749872,17812300,chr1,11901111,11927552,+,Philodina_roseola,Chromosomes
Adineta_vaga:300k,chr2,30921,333138,chr1,12270604,12507527,-,Philodina_roseola,Chromosomes
Adineta_vaga:300k,chr2,1157569,10822978,chr2,5544568,17288942,-,Philodina_roseola,Chromosomes
Adineta_vaga:300k,chr2,10823638,10971365,chr2,7417195,7561506,+,Philodina_roseola,Chromosomes
Adineta_vaga:300k,chr2,11055121,11377834,chr2,5142774,5461770,+,Philodina_roseola,Chromosomes
Adineta_vaga:300k,chr2,11379897,13440953,chr2,2854249,5141480,+,Philodina_roseola,Chromosomes
Adineta_vaga:300k,chr2,13442960,15900894,chr2,545769,2807108,-,Philodina_roseola,Chromosomes
Adineta_vaga:300k,chr2,16105367,16259094,chr1,12899560,12981019,+,Philodina_roseola,Chromosomes
Adineta_vaga:300k,chr3,784305,785986,chr5,11921044,11922659,+,Philodina_roseola,Chromosomes
Adineta_vaga:300k,chr3,3410701,6969034,chr3,135724,5136570,+,Philodina_roseola,Chromosomes
Adineta_vaga:300k,chr3,6976111,7169947,chr3,5190885,5530435,-,Philodina_roseola,Chromosomes
Adineta_vaga:300k,chr3,7175905,9115021,chr3,5733880,9312131,+,Philodina_roseola,Chromosomes
Adineta_vaga:300k,chr3,9120425,10133235,chr3,9350821,10482368,-,Philodina_roseola,Chromosomes
Adineta_vaga:300k,chr3,10133236,10503398,chr3,10529178,11023257,-,Philodina_roseola,Chromosomes
Adineta_vaga:300k,chr3,10508635,15928889,chr3,11044057,15646719,+,Philodina_roseola,Chromosomes
Adineta_vaga:300k,chr3,20283321,20285837,chr2,17567513,17568690,+,Philodina_roseola,Chromosomes
Adineta_vaga:300k,chr4,16187,317740,chr2,17435422,17555008,-,Philodina_roseola,Chromosomes
Adineta_vaga:300k,chr4,497213,932020,chr4,123610,688127,+,Philodina_roseola,Chromosomes
Adineta_vaga:300k,chr4,947937,2316651,chr4,734371,2425212,+,Philodina_roseola,Chromosomes
Adineta_vaga:300k,chr4,2319373,2663970,chr4,2529009,2843370,-,Philodina_roseola,Chromosomes
Adineta_vaga:300k,chr4,2733539,14631363,chr4,3083060,15301412,+,Philodina_roseola,Chromosomes
Adineta_vaga:300k,chr5,224665,225147,chr3,73729,74217,+,Philodina_roseola,Chromosomes
Adineta_vaga:300k,chr5,2591449,2595454,chr4,15200263,15204351,+,Philodina_roseola,Chromosomes
Adineta_vaga:300k,chr5,2724638,2863207,chr4,15340480,15416089,+,Philodina_roseola,Chromosomes
Adineta_vaga:300k,chr5,4095926,4097052,chr5,8060204,8061382,+,Philodina_roseola,Chromosomes
Adineta_vaga:300k,chr5,5169927,15951698,chr5,527583,14562882,+,Philodina_roseola,Chromosomes
Adineta_vaga:300k,chr5,16432345,16754785,chr5,30980,68841,+,Philodina_roseola,Chromosomes
Adineta_vaga:300k,chr6,1289048,1578829,chr6,53858,439623,+,Philodina_roseola,Chromosomes
Adineta_vaga:300k,chr6,1637127,4118091,chr6,498304,3350257,+,Philodina_roseola,Chromosomes
Adineta_vaga:300k,chr6,4122771,4570909,chr6,3359353,3905156,-,Philodina_roseola,Chromosomes
Adineta_vaga:300k,chr6,4577592,4695430,chr6,3710463,3806421,-,Philodina_roseola,Chromosomes
Adineta_vaga:300k,chr6,4702436,12937100,chr6,3936719,13140232,+,Philodina_roseola,Chromosomes
Adineta_vaga:300k,chr1,399013,639420,chr18,2662149,3026587,+,Rotaria_rotatoria,Scaffolds
Adineta_vaga:300k,chr1,1163704,1356488,chr13,3674960,4012007,-,Rotaria_rotatoria,Scaffolds
Adineta_vaga:300k,chr1,1420810,1426439,chr13,3564884,3575234,+,Rotaria_rotatoria,Scaffolds
Adineta_vaga:300k,chr1,1493314,1616558,chr13,3227648,3472081,-,Rotaria_rotatoria,Scaffolds
Adineta_vaga:300k,chr1,1646078,3356742,chr12,1198172,5089272,+,Rotaria_rotatoria,Scaffolds
Adineta_vaga:300k,chr1,3376601,3392050,chr10,2711395,2738882,+,Rotaria_rotatoria,Scaffolds
Adineta_vaga:300k,chr1,3516804,5302956,chr11,59281,5130040,+,Rotaria_rotatoria,Scaffolds
Adineta_vaga:300k,chr1,5470007,8531517,chr8,474395,7042786,-,Rotaria_rotatoria,Scaffolds
Adineta_vaga:300k,chr1,8534299,9917203,chr17,26703,3061799,+,Rotaria_rotatoria,Scaffolds
Adineta_vaga:300k,chr1,9921002,10811574,chr18,227451,2553581,+,Rotaria_rotatoria,Scaffolds
Adineta_vaga:300k,chr1,13403502,13915419,chr4,5650835,5900066,-,Rotaria_rotatoria,Scaffolds
Adineta_vaga:300k,chr1,14417143,14604443,chr18,2736129,2816436,+,Rotaria_rotatoria,Scaffolds
Adineta_vaga:300k,chr1,16108536,17467639,chr1,1603500,1925216,-,Rotaria_rotatoria,Scaffolds
Adineta_vaga:300k,chr1,17586377,18105540,chr26,1492890,1617077,+,Rotaria_rotatoria,Scaffolds
Adineta_vaga:300k,chr2,19173,88948,chr26,1686110,1782845,+,Rotaria_rotatoria,Scaffolds
Adineta_vaga:300k,chr2,726027,780943,chr3,12030017,12048441,+,Rotaria_rotatoria,Scaffolds
Adineta_vaga:300k,chr2,915748,990125,chr3,10704598,10854806,-,Rotaria_rotatoria,Scaffolds
Adineta_vaga:300k,chr2,1151227,1539219,chr32,135168,1011972,-,Rotaria_rotatoria,Scaffolds
Adineta_vaga:300k,chr2,1629038,1834108,chr1,1097581,1558341,+,Rotaria_rotatoria,Scaffolds
Adineta_vaga:300k,chr2,1835121,1905941,chr1,1739292,1869532,-,Rotaria_rotatoria,Scaffolds
Adineta_vaga:300k,chr2,1909387,9151458,chr1,2016529,14585856,+,Rotaria_rotatoria,Scaffolds
Adineta_vaga:300k,chr2,9179807,9528939,chr1,17908149,18487897,+,Rotaria_rotatoria,Scaffolds
Adineta_vaga:300k,chr2,9530270,10972383,chr1,14642602,17161458,-,Rotaria_rotatoria,Scaffolds
Adineta_vaga:300k,chr2,10977207,11357377,chr1,17170608,17899050,-,Rotaria_rotatoria,Scaffolds
Adineta_vaga:300k,chr2,11407246,12523986,chr1,18577342,20562752,-,Rotaria_rotatoria,Scaffolds
Adineta_vaga:300k,chr2,12527375,12620572,chr1,20290698,20440539,-,Rotaria_rotatoria,Scaffolds
Adineta_vaga:300k,chr2,12622722,13297189,chr1,20567597,21573490,+,Rotaria_rotatoria,Scaffolds
Adineta_vaga:300k,chr2,13300685,14390442,chr23,21403,2002634,-,Rotaria_rotatoria,Scaffolds
Adineta_vaga:300k,chr2,14394915,16256823,chr22,23200,2043567,-,Rotaria_rotatoria,Scaffolds
Adineta_vaga:300k,chr3,3726718,4408225,chr21,265144,2076485,+,Rotaria_rotatoria,Scaffolds
Adineta_vaga:300k,chr3,4421461,5574776,chr24,269865,1948448,-,Rotaria_rotatoria,Scaffolds
Adineta_vaga:300k,chr3,5579401,8969654,chr4,135873,12059445,-,Rotaria_rotatoria,Scaffolds
Adineta_vaga:300k,chr3,8973970,9911080,chr15,40961,3825207,+,Rotaria_rotatoria,Scaffolds
Adineta_vaga:300k,chr3,9914646,11819147,chr9,18711,7057902,+,Rotaria_rotatoria,Scaffolds
Adineta_vaga:300k,chr3,11821460,12017262,chr46,10614,489113,-,Rotaria_rotatoria,Scaffolds
Adineta_vaga:300k,chr3,12020131,12031549,chr14,3425295,3459347,+,Rotaria_rotatoria,Scaffolds
Adineta_vaga:300k,chr3,12038465,12236251,chr14,3549043,4080607,+,Rotaria_rotatoria,Scaffolds
Adineta_vaga:300k,chr3,12240890,12372621,chr37,287649,631554,+,Rotaria_rotatoria,Scaffolds
Adineta_vaga:300k,chr3,12374064,12461333,chr43,323894,471187,-,Rotaria_rotatoria,Scaffolds
Adineta_vaga:300k,chr3,12466310,12838246,chr26,11696,1413119,-,Rotaria_rotatoria,Scaffolds
Adineta_vaga:300k,chr3,12841468,13168460,chr27,110592,1853861,-,Rotaria_rotatoria,Scaffolds
Adineta_vaga:300k,chr3,13175358,15927057,chr36,24577,923003,+,Rotaria_rotatoria,Scaffolds
Adineta_vaga:300k,chr3,19396629,19619191,chr3,3803643,3938386,+,Rotaria_rotatoria,Scaffolds
Adineta_vaga:300k,chr4,467532,1035833,chr33,62564,901962,+,Rotaria_rotatoria,Scaffolds
Adineta_vaga:300k,chr4,1105495,1636543,chr29,72471,1489065,-,Rotaria_rotatoria,Scaffolds
Adineta_vaga:300k,chr4,1640706,2659527,chr20,404943,2038667,-,Rotaria_rotatoria,Scaffolds
Adineta_vaga:300k,chr4,2733834,2842948,chr3,5031,199419,-,Rotaria_rotatoria,Scaffolds
Adineta_vaga:300k,chr4,2843794,3068319,chr20,4329,395286,+,Rotaria_rotatoria,Scaffolds
Adineta_vaga:300k,chr4,3134201,3444024,chr3,201717,726569,+,Rotaria_rotatoria,Scaffolds
Adineta_vaga:300k,chr4,3448587,3629499,chr3,732422,1041646,-,Rotaria_rotatoria,Scaffolds
Adineta_vaga:300k,chr4,3633822,9768906,chr3,1052959,12677031,+,Rotaria_rotatoria,Scaffolds
Adineta_vaga:300k,chr4,9879485,13089942,chr10,211417,6533120,+,Rotaria_rotatoria,Scaffolds
Adineta_vaga:300k,chr4,13093517,13907583,chr13,3018754,4403576,+,Rotaria_rotatoria,Scaffolds
Adineta_vaga:300k,chr4,13918656,14186482,chr31,18575,730812,+,Rotaria_rotatoria,Scaffolds
Adineta_vaga:300k,chr4,14199827,14406758,chr7,6966777,7475200,+,Rotaria_rotatoria,Scaffolds
Adineta_vaga:300k,chr4,14412665,14696813,chr31,742848,1167842,+,Rotaria_rotatoria,Scaffolds
Adineta_vaga:300k,chr5,1801,1813404,chr1,238120,1011380,+,Rotaria_rotatoria,Scaffolds
Adineta_vaga:300k,chr5,4063908,6033053,chr14,226222,3480675,-,Rotaria_rotatoria,Scaffolds
Adineta_vaga:300k,chr5,6079310,8930311,chr6,12558,7343332,+,Rotaria_rotatoria,Scaffolds
Adineta_vaga:300k,chr5,8940981,9044714,chr13,2625763,2973270,+,Rotaria_rotatoria,Scaffolds
Adineta_vaga:300k,chr5,9049597,9102176,chr6,7389184,7486169,-,Rotaria_rotatoria,Scaffolds
Adineta_vaga:300k,chr5,9104791,9794786,chr13,16384,2586722,-,Rotaria_rotatoria,Scaffolds
Adineta_vaga:300k,chr5,9798409,11508660,chr7,19154,5475903,+,Rotaria_rotatoria,Scaffolds
Adineta_vaga:300k,chr5,11519708,11671254,chr8,3240,380907,-,Rotaria_rotatoria,Scaffolds
Adineta_vaga:300k,chr5,11676558,15288732,chr5,9068,9234493,+,Rotaria_rotatoria,Scaffolds
Adineta_vaga:300k,chr5,15292118,15799377,chr25,366413,1909227,-,Rotaria_rotatoria,Scaffolds
Adineta_vaga:300k,chr5,15902861,16006049,chr45,137840,200219,+,Rotaria_rotatoria,Scaffolds
Adineta_vaga:300k,chr6,1856,1460714,chr12,82469,708608,+,Rotaria_rotatoria,Scaffolds
Adineta_vaga:300k,chr6,1515016,1765452,chr38,279549,751159,+,Rotaria_rotatoria,Scaffolds
Adineta_vaga:300k,chr6,1854688,3080985,chr16,722483,3517624,+,Rotaria_rotatoria,Scaffolds
Adineta_vaga:300k,chr6,3103368,3421173,chr41,217217,812967,-,Rotaria_rotatoria,Scaffolds
Adineta_vaga:300k,chr6,3480412,4990785,chr19,84913,2550770,+,Rotaria_rotatoria,Scaffolds
Adineta_vaga:300k,chr6,5001658,5843152,chr30,20165,1408500,-,Rotaria_rotatoria,Scaffolds
Adineta_vaga:300k,chr6,5847178,9797132,chr2,5592810,12795880,-,Rotaria_rotatoria,Scaffolds
Adineta_vaga:300k,chr6,9801112,10021280,chr2,5244115,5564865,+,Rotaria_rotatoria,Scaffolds
Adineta_vaga:300k,chr6,10028347,12076885,chr2,133598,5187467,-,Rotaria_rotatoria,Scaffolds
Adineta_vaga:300k,chr6,12085032,12383085,chr28,562512,1800556,-,Rotaria_rotatoria,Scaffolds
Adineta_vaga:300k,chr6,12598989,12761723,chr39,13172,275648,+,Rotaria_rotatoria,Scaffolds
Adineta_vaga:300k,chr6,13483600,13576015,chr18,846086,878153,+,Rotaria_rotatoria,Scaffolds
Adineta_vaga:300k,chr6,13779355,13781576,chr18,2096771,2098977,+,Rotaria_rotatoria,Scaffolds
