chromosome,genomic_accession,start,end,strand,class,locus_tag,,name,GeneID
chr1,NC_000001.11,490756,495445,-,lncRNA,,LOC100132287,uncharacterized LOC100132287,100132287
chr1,NC_000001.11,516376,516479,-,snRNA,,LOC124904706,U6 spliceosomal RNA,124904706
chr1,NC_000001.11,586287,611297,-,protein_coding,,LOC105378947,proline-rich extensin-like protein EPR1,105378947
chr1,NC_000001.11,627380,629009,-,lncRNA,,LOC101928626,uncharacterized LOC101928626,101928626
chr1,NC_000001.11,629062,629440,+,pseudogene,,MTND1P23,MT-ND1 pseudogene 23,100887749
chr1,NC_000001.11,629640,630686,+,pseudogene,,MTND2P28,MT-ND2 pseudogene 28,100652939
chr1,NC_000001.11,631074,632616,+,pseudogene,,MTCO1P12,MT-CO1 pseudogene 12,107075141
chr1,NC_000001.11,632615,632685,-,miRNA,,MIR12136,microRNA 12136,113219467
chr1,NC_000001.11,632757,633438,+,pseudogene,,MTCO2P12,MT-CO2 pseudogene 12,107075310
chr1,NC_000001.11,633535,633741,+,pseudogene,,MTATP8P1,MT-ATP8 pseudogene 1,106480795
chr1,NC_000001.11,633696,634376,+,pseudogene,,MTATP6P1,MT-ATP6 pseudogene 1,106480796
chr1,NC_000001.11,634376,634922,+,pseudogene,,MTCO3P12,MT-CO3 pseudogene 12,107075270
chr1,NC_000001.11,674743,675246,+,pseudogene,,WBP1LP6,WBP1L pseudogene 6,106481797
chr1,NC_000001.11,676076,720101,-,protein_coding,,OR4F16,olfactory receptor family 4 subfamily F member 16,81399
chr1,NC_000001.11,717621,720202,-,pseudogene,,SEPTIN14P14,septin 14 pseudogene 14,107105354
chr1,NC_000001.11,722046,725822,+,pseudogene,,CICP3,capicua transcriptional repressor pseudogene 3,100132630
chr1,NC_000001.11,725759,778634,-,lncRNA,,LOC100288069,uncharacterized LOC100288069,100288069
chr1,NC_000001.11,758233,758336,-,pseudogene,,RNU6-1199P,"RNA, U6 small nuclear 1199, pseudogene",106480091
chr1,NC_000001.11,778798,810065,+,lncRNA,,LINC01409,long intergenic non-protein coding RNA 1409,105378580
chr1,NC_000001.11,791598,799081,+,lncRNA,,LOC124903817,uncharacterized LOC124903817,124903817
chr1,NC_000001.11,817371,819834,+,lncRNA,,FAM87B,family with sequence similarity 87 member B,400728
chr1,NC_000001.11,826206,827522,-,lncRNA,,LINC00115,long intergenic non-protein coding RNA 115,79854
chr1,NC_000001.11,827591,859446,+,lncRNA,,LINC01128,long intergenic non-protein coding RNA 1128,643837
chr1,NC_000001.11,860182,868202,+,lncRNA,,LOC107984850,uncharacterized LOC107984850,107984850
chr1,NC_000001.11,868071,876802,-,lncRNA,,FAM41C,family with sequence similarity 41 member C,284593
chr1,NC_000001.11,873291,874514,+,pseudogene,,TUBB8P11,tubulin beta 8 class VIII pseudogene 11,388579
chr1,NC_000001.11,904811,921019,+,lncRNA,,LOC284600,uncharacterized LOC284600,284600
chr1,NC_000001.11,916818,919692,-,lncRNA,,LINC02593,long intergenic non-protein coding RNA 2593,100130417
chr1,NC_000001.11,920243,925604,-,lncRNA,,LOC107985728,collagen alpha-1(III) chain-like,107985728
chr1,NC_000001.11,923923,944574,+,protein_coding,,SAMD11,sterile alpha motif domain containing 11,148398
chr1,NC_000001.11,944203,959256,-,protein_coding,,NOC2L,NOC2 like nucleolar associated transcriptional repressor,26155
chr1,NC_000001.11,960584,965719,+,protein_coding,,KLHL17,kelch like family member 17,339451
chr1,NC_000001.11,966482,975865,+,protein_coding,,PLEKHN1,pleckstrin homology domain containing N1,84069
chr1,NC_000001.11,975198,982093,-,protein_coding,,PERM1,"PPARGC1 and ESRR induced regulator, muscle 1",84808
chr1,NC_000001.11,998964,1000097,-,protein_coding,,HES4,hes family bHLH transcription factor 4,57801
chr1,NC_000001.11,1008060,1008290,-,pseudogene,,RPL39P12,ribosomal protein L39 pseudogene 12,100270829
chr1,NC_000001.11,1013497,1014540,+,protein_coding,,ISG15,ISG15 ubiquitin like modifier,9636
chr1,NC_000001.11,1020120,1056116,+,protein_coding,,AGRN,agrin,375790
chr1,NC_000001.11,1059734,1066453,+,lncRNA,,LOC100288175,uncharacterized LOC100288175,100288175
chr1,NC_000001.11,1065635,1069337,-,lncRNA,,LOC105378948,uncharacterized LOC105378948,105378948
chr1,NC_000001.11,1070967,1074306,-,protein_coding,,RNF223,ring finger protein 223,401934
chr1,NC_000001.11,1081823,1116089,-,protein_coding,,C1orf159,chromosome 1 open reading frame 159,54991
chr1,NC_000001.11,1122903,1128984,-,lncRNA,,LOC124903819,uncharacterized LOC124903819,124903819
chr1,NC_000001.11,1128684,1161940,+,lncRNA,,LOC124903820,uncharacterized LOC124903820,124903820
chr1,NC_000001.11,1137017,1144056,+,lncRNA,,LINC01342,long intergenic non-protein coding RNA 1342,254099
chr1,NC_000001.11,1162877,1170338,+,lncRNA,,LOC124903818,uncharacterized LOC124903818,124903818
chr1,NC_000001.11,1167104,1167198,+,miRNA,,MIR200B,microRNA 200b,406984
chr1,NC_000001.11,1167863,1167952,+,miRNA,,MIR200A,microRNA 200a,406983
chr1,NC_000001.11,1169005,1169087,+,miRNA,,MIR429,microRNA 429,554210
chr1,NC_000001.11,1173056,1179555,-,lncRNA,,TTLL10-AS1,TTLL10 antisense RNA 1,100506376
chr1,NC_000001.11,1173880,1197936,+,protein_coding,,TTLL10,tubulin tyrosine ligase like 10,254173
chr1,NC_000001.11,1203508,1206592,-,protein_coding,,TNFRSF18,TNF receptor superfamily member 18,8784
chr1,NC_000001.11,1211340,1214153,-,protein_coding,,TNFRSF4,TNF receptor superfamily member 4,7293
chr1,NC_000001.11,1216931,1232001,-,protein_coding,,SDF4,stromal cell derived factor 4,51150
chr1,NC_000001.11,1232237,1235041,+,protein_coding,,B3GALT6,"beta-1,3-galactosyltransferase 6",126792
chr1,NC_000001.11,1242453,1247280,-,protein_coding,,C1QTNF12,C1q and TNF related 12,388581
chr1,NC_000001.11,1253912,1273854,-,protein_coding,,UBE2J2,ubiquitin conjugating enzyme E2 J2,118424
chr1,NC_000001.11,1274002,1280607,+,lncRNA,,LINC01786,long intergenic non-protein coding RNA 1786,101928895
chr1,NC_000001.11,1280436,1292025,+,protein_coding,,SCNN1D,sodium channel epithelial 1 subunit delta,6339
chr1,NC_000001.11,1292391,1307930,-,protein_coding,,ACAP3,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 3",116983
chr1,NC_000001.11,1296110,1296170,-,miRNA,,MIR6726,microRNA 6726,102465434
chr1,NC_000001.11,1304729,1304812,-,snoRNA,,SNORD167,"small nucleolar RNA, C/D box 167",109623456
chr1,NC_000001.11,1308597,1311677,+,protein_coding,,PUSL1,pseudouridine synthase like 1,126789
chr1,NC_000001.11,1311600,1324660,-,protein_coding,,INTS11,integrator complex subunit 11,54973
chr1,NC_000001.11,1312502,1312566,-,miRNA,,MIR6727,microRNA 6727,102465435
chr1,NC_000001.11,1324802,1328896,+,protein_coding,,CPTP,ceramide-1-phosphate transfer protein,80772
chr1,NC_000001.11,1331280,1335314,+,protein_coding,,TAS1R3,taste 1 receptor member 3,83756
chr1,NC_000001.11,1335278,1349418,-,protein_coding,,DVL1,dishevelled segment polarity protein 1,1855
chr1,NC_000001.11,1339650,1339708,-,miRNA,,MIR6808,microRNA 6808,102466740
chr1,NC_000001.11,1352689,1363541,-,protein_coding,,MXRA8,matrix remodeling associated 8,54587
chr1,NC_000001.11,1373736,1375207,-,protein_coding,,AURKAIP1,aurora kinase A interacting protein 1,54998
chr1,NC_000001.11,1378640,1379084,+,pseudogene,,NDUFB4P8,NADH:ubiquinone oxidoreductase subunit B4 pseudogene 8,107075246
chr1,NC_000001.11,1385711,1399335,-,protein_coding,,CCNL2,cyclin L2,81669
chr1,NC_000001.11,1399530,1402046,+,lncRNA,,MRPL20-AS1,MRPL20 antisense RNA 1,148413
chr1,NC_000001.11,1401909,1407293,-,protein_coding,,MRPL20,mitochondrial ribosomal protein L20,55052
chr1,NC_000001.11,1405460,1405752,-,pseudogene,,RN7SL657P,"RNA, 7SL, cytoplasmic 657, pseudogene",107074708
chr1,NC_000001.11,1408348,1410684,+,lncRNA,,MRPL20-DT,MRPL20 divergent transcript,116435301
chr1,NC_000001.11,1418420,1421276,-,protein_coding,,ANKRD65,ankyrin repeat domain 65,441869
chr1,NC_000001.11,1420166,1423287,+,lncRNA,,ANKRD65-AS1,ANKRD65 antisense RNA 1,105378585
chr1,NC_000001.11,1425871,1430255,+,protein_coding,,TMEM88B,transmembrane protein 88B,643965
chr1,NC_000001.11,1430157,1434573,-,lncRNA,,LINC01770,long intergenic non-protein coding RNA 1770,102724312
chr1,NC_000001.11,1433233,1435549,+,protein_coding,,LOC107985729,uncharacterized LOC107985729,107985729
chr1,NC_000001.11,1435690,1442882,+,protein_coding,,VWA1,von Willebrand factor A domain containing 1,64856
chr1,NC_000001.11,1449689,1470163,+,protein_coding,,ATAD3C,ATPase family AAA domain containing 3C,219293
chr1,NC_000001.11,1471765,1509466,+,protein_coding,,ATAD3B,ATPase family AAA domain containing 3B,83858
chr1,NC_000001.11,1512162,1534685,+,protein_coding,,ATAD3A,ATPase family AAA domain containing 3A,55210
chr1,NC_000001.11,1534778,1540624,-,protein_coding,,TMEM240,transmembrane protein 240,339453
chr1,NC_000001.11,1541673,1574863,-,protein_coding,,SSU72,"SSU72 homolog, RNA polymerase II CTD phosphatase",29101
chr1,NC_000001.11,1598012,1600135,-,protein_coding,,FNDC10,fibronectin type III domain containing 10,643988
chr1,NC_000001.11,1599433,1607210,+,lncRNA,,LOC105378586,uncharacterized LOC105378586,105378586
chr1,NC_000001.11,1613731,1630605,+,protein_coding,,MIB2,MIB E3 ubiquitin protein ligase 2,142678
chr1,NC_000001.11,1624757,1631786,-,lncRNA,,LOC124903821,uncharacterized LOC124903821,124903821
chr1,NC_000001.11,1632173,1634654,+,protein_coding,,MMP23B,matrix metallopeptidase 23B,8510
chr1,NC_000001.11,1635225,1659004,-,protein_coding,,CDK11B,cyclin dependent kinase 11B,984
chr1,NC_000001.11,1661478,1692795,-,protein_coding,,SLC35E2B,solute carrier family 35 member E2B,728661
chr1,NC_000001.11,1673283,1674435,+,pseudogene,,LOC100288379,ribosomal protein S7 pseudogene,100288379
chr1,NC_000001.11,1699939,1701808,+,transcribed_pseudogene,,MMP23A,matrix metallopeptidase 23A (pseudogene),8511
chr1,NC_000001.11,1702379,1724357,-,protein_coding,,CDK11A,cyclin dependent kinase 11A,728642
chr1,NC_000001.11,1727385,1746070,-,transcribed_pseudogene,,SLC35E2A,solute carrier family 35 member E2A (pseudogene),9906
chr1,NC_000001.11,1735819,1737291,+,pseudogene,,LOC100129381,ribosomal protein S7 pseudogene,100129381
chr1,NC_000001.11,1745819,1751742,+,lncRNA,,LOC112268218,uncharacterized LOC112268218,112268218
chr1,NC_000001.11,1751232,1780514,-,protein_coding,,NADK,NAD kinase,65220
chr1,NC_000001.11,1785286,1891087,-,protein_coding,,GNB1,G protein subunit beta 1,2782
chr1,NC_000001.11,1891180,1892726,+,lncRNA,,GNB1-DT,GNB1 divergent transcript,105378949
chr1,NC_000001.11,1906002,1909126,-,lncRNA,,LOC124903822,uncharacterized LOC124903822,124903822
chr1,NC_000001.11,1915260,1917296,+,protein_coding,,CALML6,calmodulin like 6,163688
chr1,NC_000001.11,1917591,1919279,-,protein_coding,,TMEM52,transmembrane protein 52,339456
chr1,NC_000001.11,1921957,2003786,-,protein_coding,,CFAP74,cilia and flagella associated protein 74,85452
chr1,NC_000001.11,1957368,1959030,+,lncRNA,,LOC107984872,uncharacterized LOC107984872,107984872
chr1,NC_000001.11,2013198,2018088,-,lncRNA,,LOC105378589,uncharacterized LOC105378589,105378589
chr1,NC_000001.11,2019345,2030758,+,protein_coding,,GABRD,gamma-aminobutyric acid type A receptor subunit delta,2563
chr1,NC_000001.11,2035766,2047447,-,lncRNA,,LOC105378590,uncharacterized LOC105378590,105378590
chr1,NC_000001.11,2048504,2185395,+,protein_coding,,PRKCZ,protein kinase C zeta,5590
chr1,NC_000001.11,2049201,2050070,-,lncRNA,,PRKCZ-DT,PRKCZ divergent transcript,105378591
chr1,NC_000001.11,2181794,2183875,-,lncRNA,,PRKCZ-AS1,PRKCZ antisense RNA 1,100506504
chr1,NC_000001.11,2184477,2212720,-,protein_coding,,FAAP20,FA core complex associated protein 20,199990
chr1,NC_000001.11,2189798,2192458,+,lncRNA,,LOC112268219,uncharacterized LOC112268219,112268219
chr1,NC_000001.11,2207013,2209335,+,lncRNA,,LOC105378593,uncharacterized LOC105378593,105378593
chr1,NC_000001.11,2212391,2220749,+,lncRNA,,LOC124903823,uncharacterized LOC124903823,124903823
chr1,NC_000001.11,2228319,2310213,+,protein_coding,,SKI,SKI proto-oncogene,6497
chr1,NC_000001.11,2314995,2319268,+,lncRNA,,LOC124903824,uncharacterized LOC124903824,124903824
chr1,NC_000001.11,2321253,2391554,-,protein_coding,,MORN1,MORN repeat containing 1,79906
chr1,NC_000001.11,2350414,2352661,-,transcribed_pseudogene,,LOC100129534,small nuclear ribonucleoprotein polypeptide N pseudogene,100129534
chr1,NC_000001.11,2391841,2405436,+,protein_coding,,RER1,retention in endoplasmic reticulum sorting receptor 1,11079
chr1,NC_000001.11,2403974,2413827,-,protein_coding,,PEX10,peroxisomal biogenesis factor 10,5192
chr1,NC_000001.11,2415943,2505532,+,protein_coding,,PLCH2,phospholipase C eta 2,9651
chr1,NC_000001.11,2508537,2526596,-,protein_coding,,PANK4,pantothenate kinase 4 (inactive),55229
chr1,NC_000001.11,2528745,2530263,-,protein_coding,,HES5,hes family bHLH transcription factor 5,388585
chr1,NC_000001.11,2549920,2557011,-,lncRNA,,TNFRSF14-AS1,TNFRSF14 antisense RNA 1,115110
chr1,NC_000001.11,2554234,2563829,+,protein_coding,,TNFRSF14,TNF receptor superfamily member 14,8764
chr1,NC_000001.11,2566535,2584534,+,lncRNA,,LOC100996583,uncharacterized LOC100996583,100996583
chr1,NC_000001.11,2586523,2591468,+,protein_coding,,PRXL2B,peroxiredoxin like 2B,127281
chr1,NC_000001.11,2590639,2633016,-,protein_coding,,MMEL1,membrane metalloendopeptidase like 1,79258
chr1,NC_000001.11,2628756,2636620,+,lncRNA,,MMEL1-AS1,MMEL1 antisense RNA 1,105378597
chr1,NC_000001.11,2636986,2801693,-,protein_coding,,TTC34,tetratricopeptide repeat domain 34,100287898
chr1,NC_000001.11,2701377,2702276,+,lncRNA,,LOC105378602,uncharacterized LOC105378602,105378602
chr1,NC_000001.11,2762488,2763387,+,lncRNA,,LOC105378601,uncharacterized LOC105378601,105378601
chr1,NC_000001.11,2763419,2767518,+,lncRNA,,LOC112268220,uncharacterized LOC112268220,112268220
chr1,NC_000001.11,2764564,2765629,+,lncRNA,,LOC107985732,uncharacterized LOC107985732,107985732
chr1,NC_000001.11,2766073,2766972,+,lncRNA,,LOC105378600,uncharacterized LOC105378600,105378600
chr1,NC_000001.11,2767828,2784745,+,lncRNA,,LOC105378598,uncharacterized LOC105378598,105378598
chr1,NC_000001.11,2771826,2772891,+,lncRNA,,LOC107984904,uncharacterized LOC107984904,107984904
chr1,NC_000001.11,2773495,2774394,+,lncRNA,,LOC105378599,uncharacterized LOC105378599,105378599
chr1,NC_000001.11,2814058,2817767,+,lncRNA,,LOC124903825,uncharacterized LOC124903825,124903825
chr1,NC_000001.11,2814385,2816806,-,lncRNA,,LOC124903826,uncharacterized LOC124903826,124903826
chr1,NC_000001.11,3021467,3022903,+,protein_coding,,ACTRT2,actin related protein T2,140625
chr1,NC_000001.11,3055423,3075562,-,protein_coding,,LOC124903827,translation initiation factor IF-2,124903827
chr1,NC_000001.11,3059617,3067725,-,lncRNA,,PRDM16-DT,PRDM16 divergent transcript,440556
chr1,NC_000001.11,3069203,3438621,+,protein_coding,,PRDM16,PR/SET domain 16,63976
chr1,NC_000001.11,3069658,3070697,+,pseudogene,,LOC100420339,opioid growth factor receptor pseudogene,100420339
chr1,NC_000001.11,3127975,3128035,+,miRNA,,MIR4251,microRNA 4251,100422968
chr1,NC_000001.11,3161281,3166895,-,lncRNA,,LOC105378606,uncharacterized LOC105378606,105378606
chr1,NC_000001.11,3187558,3195526,+,lncRNA,,LOC107984909,uncharacterized LOC107984909,107984909
chr1,NC_000001.11,3210736,3213745,-,lncRNA,,LOC105378605,uncharacterized LOC105378605,105378605
chr1,NC_000001.11,3266945,3297275,+,protein_coding,,LOC124903828,collagen alpha-5(IV) chain-like,124903828
chr1,NC_000001.11,3306653,3323497,-,lncRNA,,LOC105378604,uncharacterized LOC105378604,105378604
chr1,NC_000001.11,3454665,3481113,+,protein_coding,,ARHGEF16,Rho guanine nucleotide exchange factor 16,27237
chr1,NC_000001.11,3487951,3624786,-,protein_coding,,MEGF6,multiple EGF like domains 6,1953
chr1,NC_000001.11,3548480,3550572,+,lncRNA,,LOC105378608,uncharacterized LOC105378608,105378608
chr1,NC_000001.11,3560695,3560790,-,miRNA,,MIR551A,microRNA 551a,693135
chr1,NC_000001.11,3625015,3630127,+,protein_coding,,TPRG1L,tumor protein p63 regulated 1 like,127262
chr1,NC_000001.11,3630770,3650103,-,protein_coding,,WRAP73,"WD repeat containing, antisense to TP73",49856
chr1,NC_000001.11,3652516,3736201,+,protein_coding,,TP73,tumor protein p73,7161
chr1,NC_000001.11,3658643,3668945,-,lncRNA,,TP73-AS3,TP73 antisense RNA 3,105378610
chr1,NC_000001.11,3712200,3714298,-,lncRNA,,TP73-AS2,TP73 antisense RNA 2,117134600
chr1,NC_000001.11,3735984,3747373,-,transcribed_pseudogene,,GFOD3P,"Gfo/Idh/MocA-like oxidoreductase domain containing 3, pseudogene",57212
chr1,NC_000001.11,3752450,3771645,+,protein_coding,,CCDC27,coiled-coil domain containing 27,148870
chr1,NC_000001.11,3772749,3775956,+,protein_coding,,SMIM1,small integral membrane protein 1 (Vel blood group),388588
chr1,NC_000001.11,3778559,3796498,-,protein_coding,,LRRC47,leucine rich repeat containing 47,57470
chr1,NC_000001.11,3782815,3783111,+,pseudogene,,RN7SL574P,"RNA, 7SL, cytoplasmic 574, pseudogene",106481079
chr1,NC_000001.11,3812086,3857211,-,protein_coding,,CEP104,centrosomal protein 104,9731
chr1,NC_000001.11,3849811,3851719,-,lncRNA,,LOC124903829,uncharacterized LOC124903829,124903829
chr1,NC_000001.11,3857476,3885429,+,protein_coding,,DFFB,DNA fragmentation factor subunit beta,1677
chr1,NC_000001.11,3889133,3900272,-,protein_coding,,C1orf174,chromosome 1 open reading frame 174,339448
chr1,NC_000001.11,3900404,3915447,+,lncRNA,,LINC01134,long intergenic non-protein coding RNA 1134,100133612
chr1,NC_000001.11,3940612,3952583,+,lncRNA,,LINC01346,long intergenic non-protein coding RNA 1346,728716
chr1,NC_000001.11,3947149,3948980,-,lncRNA,,LINC01345,long intergenic non-protein coding RNA 1345,105376672
chr1,NC_000001.11,3976090,4012704,+,lncRNA,,LINC02780,long intergenic non-protein coding RNA 2780,105376673
chr1,NC_000001.11,4175463,4175899,-,pseudogene,,EEF1DP6,eukaryotic translation elongation factor 1 delta pseudogene 6,644357
chr1,NC_000001.11,4412051,4424684,+,lncRNA,,LINC01777,long intergenic non-protein coding RNA 1777,284661
chr1,NC_000001.11,4432146,4443634,+,lncRNA,,LOC105376674,uncharacterized LOC105376674,105376674
chr1,NC_000001.11,4552005,4556565,-,lncRNA,,LOC124904578,uncharacterized LOC124904578,124904578
chr1,NC_000001.11,4571487,4583706,+,lncRNA,,LINC01646,long intergenic non-protein coding RNA 1646,105376679
chr1,NC_000001.11,4654609,4792534,+,protein_coding,,AJAP1,adherens junctions associated protein 1,55966
chr1,NC_000001.11,4973391,4983958,+,lncRNA,,LINC02781,long intergenic non-protein coding RNA 2781,105376680
chr1,NC_000001.11,4992630,4998716,-,lncRNA,,LOC124904589,uncharacterized LOC124904589,124904589
chr1,NC_000001.11,4997369,5004349,+,lncRNA,,LOC102724429,uncharacterized LOC102724429,102724429
chr1,NC_000001.11,5086459,5098548,-,lncRNA,,LINC02782,long intergenic non-protein coding RNA 2782,105376681
chr1,NC_000001.11,5131856,5135311,+,lncRNA,,LOC105376682,uncharacterized LOC105376682,105376682
chr1,NC_000001.11,5422642,5428379,+,lncRNA,,LOC124904590,uncharacterized LOC124904590,124904590
chr1,NC_000001.11,5470329,5481317,-,lncRNA,,LOC107984911,uncharacterized LOC107984911,107984911
chr1,NC_000001.11,5490842,5494629,-,lncRNA,,LOC105376686,uncharacterized LOC105376686,105376686
chr1,NC_000001.11,5680952,5681026,+,snoRNA,,LOC124900451,small nucleolar RNA SNORD66,124900451
chr1,NC_000001.11,5704311,5713958,-,lncRNA,,LOC124903830,uncharacterized LOC124903830,124903830
chr1,NC_000001.11,5862672,5862741,-,miRNA,,MIR4689,microRNA 4689,100616421
chr1,NC_000001.11,5862811,5992425,-,protein_coding,,NPHP4,nephrocystin 4,261734
chr1,NC_000001.11,5992676,6101180,+,protein_coding,,KCNAB2,potassium voltage-gated channel subfamily A regulatory beta subunit 2,8514
chr1,NC_000001.11,6085255,6086371,+,lncRNA,,LOC124903831,uncharacterized LOC124903831,124903831
chr1,NC_000001.11,6101787,6180321,-,protein_coding,,CHD5,chromodomain helicase DNA binding protein 5,26038
chr1,NC_000001.11,6185020,6199595,-,protein_coding,,RPL22,ribosomal protein L22,6146
chr1,NC_000001.11,6204840,6205780,-,lncRNA,,RNF207-AS1,RNF207 antisense RNA 1,102724450
chr1,NC_000001.11,6206119,6221299,+,protein_coding,,RNF207,ring finger protein 207,388591
chr1,NC_000001.11,6221193,6235964,-,protein_coding,,ICMT,isoprenylcysteine carboxyl methyltransferase,23463
chr1,NC_000001.11,6236240,6239444,+,lncRNA,,ICMT-DT,ICMT divergent transcript,148645
chr1,NC_000001.11,6244179,6245578,+,protein_coding,,HES3,hes family bHLH transcription factor 3,390992
chr1,NC_000001.11,6247353,6261098,-,protein_coding,,GPR153,G protein-coupled receptor 153,387509
chr1,NC_000001.11,6264272,6393767,-,protein_coding,,ACOT7,acyl-CoA thioesterase 7,11332
chr1,NC_000001.11,6415232,6419919,-,protein_coding,,HES2,hes family bHLH transcription factor 2,54626
chr1,NC_000001.11,6424776,6461370,+,protein_coding,,ESPN,espin,83715
chr1,NC_000001.11,6429834,6429896,-,miRNA,,MIR4252,microRNA 4252,100422975
chr1,NC_000001.11,6460786,6466173,-,protein_coding,,TNFRSF25,TNF receptor superfamily member 25,8718
chr1,NC_000001.11,6467122,6520092,-,protein_coding,,PLEKHG5,pleckstrin homology and RhoGEF domain containing G5,57449
chr1,NC_000001.11,6521347,6554513,-,protein_coding,,NOL9,nucleolar protein 9,79707
chr1,NC_000001.11,6540854,6540964,+,pseudogene,,RNU6-731P,"RNA, U6 small nuclear 731, pseudogene",106481411
chr1,NC_000001.11,6555307,6579755,+,protein_coding,,TAS1R1,taste 1 receptor member 1,80835
chr1,NC_000001.11,6567548,6579433,-,lncRNA,,LOC107984912,uncharacterized LOC107984912,107984912
chr1,NC_000001.11,6579994,6589280,+,protein_coding,,ZBTB48,zinc finger and BTB domain containing 48,3104
chr1,NC_000001.11,6590724,6602869,-,protein_coding,,KLHL21,kelch like family member 21,9903
chr1,NC_000001.11,6603447,6613387,-,lncRNA,,LOC107984913,uncharacterized LOC107984913,107984913
chr1,NC_000001.11,6613731,6624030,+,protein_coding,,PHF13,PHD finger protein 13,148479
chr1,NC_000001.11,6624868,6635595,+,protein_coding,,THAP3,THAP domain containing 3,90326
chr1,NC_000001.11,6634170,6701816,-,protein_coding,,DNAJC11,DnaJ heat shock protein family (Hsp40) member C11,55735
chr1,NC_000001.11,6724745,6730012,+,lncRNA,,LINC01672,long intergenic non-protein coding RNA 1672,100505887
chr1,NC_000001.11,6752723,6752821,+,snoRNA,,LOC124904847,small nucleolar RNA U13,124904847
chr1,NC_000001.11,6783892,6784980,-,lncRNA,,CAMTA1-DT,CAMTA1 divergent transcript,110841581
chr1,NC_000001.11,6785454,7769706,+,protein_coding,,CAMTA1,calmodulin binding transcription activator 1,23261
chr1,NC_000001.11,6828817,6852145,+,lncRNA,,LOC124903832,uncharacterized LOC124903832,124903832
chr1,NC_000001.11,6834282,6834637,-,pseudogene,,RPL37P9,ribosomal protein L37 pseudogene 9,100270828
chr1,NC_000001.11,7008376,7014279,-,lncRNA,,CAMTA1-AS3,CAMTA1 antisense RNA 3,127138864
